date,open,high,low,exchange_rate,volume,dividends,stock splits,base_currency,quote_currency,pair,year,month,monthly_pct_change,yoy_pct_change,quarterly_volatility,annual_volatility,significant_move,ma_12_month,quarter,year_quarter
2020-03-01 00:00:00+00:00,2303.800048828125,2309.10009765625,2236.1142578125,2305.699951171875,0,0.0,0.0,USD,TZS,USD/TZS,2020,3,0.0824681961751228,-0.1947883341317458,23.07833135560344,10.350810743072492,False,2294.325927734375,1,2020-Q1
2020-04-01 00:00:00+01:00,2305.699951171875,2314.39990234375,2248.532470703125,2310.199951171875,0,0.0,0.0,USD,TZS,USD/TZS,2020,4,0.1951684996008618,0.4303743917578595,3.286801356060811,11.227641506613935,False,2295.150919596354,2,2020-Q2
2020-05-01 00:00:00+01:00,2309.199951171875,2310.699951171875,2252.864501953125,2310.60009765625,0,0.0,0.0,USD,TZS,USD/TZS,2020,5,0.017320859355574036,0.8555258688891287,2.720954268180705,11.970010209981915,False,2296.7842610677085,2,2020-Q2
2020-06-01 00:00:00+01:00,2307.89990234375,2318.985107421875,2270.593017578125,2317.985107421875,0,0.0,0.0,USD,TZS,USD/TZS,2020,6,0.31961436222200934,0.8565051636224341,4.383817671925999,13.453553325747734,False,2298.4246826171875,2,2020-Q2
2020-07-01 00:00:00+01:00,2317.985107421875,2326.985107421875,2273.106201171875,2324.625,0,0.0,0.0,USD,TZS,USD/TZS,2020,7,0.28645104564584134,1.335004359197911,7.015749288078485,15.313987458262204,False,2300.976765950521,3,2020-Q3
2020-08-01 00:00:00+01:00,2324.625,2327.985107421875,2279.918212890625,2319.985107421875,0,0.0,0.0,USD,TZS,USD/TZS,2020,8,-0.19959746531699185,1.1592049450667608,3.4062877297112055,16.024727350430513,False,2303.1921997070312,3,2020-Q3
2020-09-01 00:00:00+01:00,2318.06591796875,2325.698974609375,2276.77392578125,2318.64111328125,0,0.0,0.0,USD,TZS,USD/TZS,2020,9,-0.057931153796009216,1.1358725689500693,3.139581279122856,16.221971212141288,False,2305.3622843424478,3,2020-Q3
2020-10-01 00:00:00+01:00,2320.823974609375,2328.60693359375,2275.1669921875,2282.90478515625,0,0.0,0.0,USD,TZS,USD/TZS,2020,10,-1.5412617295665676,-0.669854385624058,21.031095103164947,17.397462643349407,False,2304.079345703125,4,2020-Q4
2020-11-01 00:00:00+00:00,2325.735107421875,2325.735107421875,2273.751220703125,2318.928955078125,0,0.0,0.0,USD,TZS,USD/TZS,2020,11,1.5779970393907439,0.9766581788863471,20.715971372018434,17.711146171623064,False,2305.9484252929688,4,2020-Q4
2020-12-01 00:00:00+00:00,2319.4208984375,2326.388916015625,2258.636962890625,2319.072021484375,0,0.0,0.0,USD,TZS,USD/TZS,2020,12,0.006169503638164819,1.1282082183578845,20.839986684940815,17.592499784204144,False,2308.1044311523438,4,2020-Q4
